ASIN,Price,Operating System,Processor_Cleaned,GPU_Model,Graphics_Size,Model,G3d_mark,G2d_mark,GPU_Tdp,Category,Screen_Size_Inch,Battery_Value,Weight_KG,Memory Technology,Cores,Cpu_mark,Thread_mark,CPU_Tdp,Socket,Storage,Memory,Brand,Memory_speed
B0CKLN7PSZ,29990.0,Windows 11 Home,Intel Core i3-1215U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,10981,3328,15.0,FCBGA1744,512,8,Acer,2400
B0CB7S1RTX,33999.0,Windows 11 Home,AMD Ryzen 5 5500U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,13047,2442,15.0,FP6,512,16,Acer,2400
B0D7PYTTGH,23499.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,15.6,38.0,1.3,LPDDR4X,2,1976,1376,6.0,FCBGA1338,512,8,Acer,4266
B0CLTW4D7T,40999.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,16,Acer,2400
B0D32SKB4C,51999.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,54.0,1.99,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B0CQP3H49P,68990.0,Windows 11 Home,Intel Core i5-13420H,RTX 3050,6 GB,GeForce RTX 3050 6GB Laptop GPU,10456.0,612.0,80.0,Mobile,15.6,57.0,2.1,DDR 5,8,18809,3470,45.0,FCBGA1744,512,16,Acer,4800
B0CJJVFGM6,13938.0,Chrome OS,Intel Celeron N4500,,,,,,,,11.6,50.0,1.45,DDR4 SDRAM,2,1976,1376,6.0,FCBGA1338,64,8,Acer,2400
B0D1G7B66L,55999.0,Windows 11 Home,Intel Core i5-13420H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,1.78,DDR4 SDRAM,8,18809,3470,45.0,FCBGA1744,512,16,Acer,2400
B0BY1VKP2D,23990.0,Windows 11 Home,AMD Ryzen 3 3250U,,,,,,,,14.0,36.0,1.5,DDR4 SDRAM,2,3845,1786,15.0,FP5,512,8,Acer,2400
B0CXPW7BRZ,171990.0,Windows 11 Home,Intel Core i9-14900HX,RTX 4070,8 GB,GeForce RTX 4070 Laptop GPU,19651.0,780.0,115.0,Mobile,16.0,90.0,2.8,DDR 5,24,46698,4333,55.0,FCBGA1964,1024,16,Acer,4800
B0CKLTD48T,36990.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,48.0,1.6,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0CJ36X76S,43819.0,Windows 11 Home,Intel Core i3-N305,,,,,,,,14.0,40.0,1.54,LPDDR5,8,10095,2227,15.0,FCBGA1264,512,8,Acer,5500
B0D2DG7PC9,94009.0,Windows 11 Home,Intel Core i7-13620H,RTX 4050,6 GB,GeForce RTX 4050 Laptop GPU,14471.0,627.0,115.0,Mobile,15.6,57.0,2.1,DDR 5,10,25482,3692,45.0,FCBGA1744,1024,16,Acer,4800
B0CHRN8C32,19990.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,11.6,42.0,1.1,DDR4 SDRAM,2,1976,1376,6.0,FCBGA1338,128,8,Acer,2400
B0CSJRN3PJ,82990.0,Windows 11 Home,Intel Core i7-13620H,RTX 3050,6 GB,GeForce RTX 3050 6GB Laptop GPU,10456.0,612.0,80.0,Mobile,15.6,57.0,2.1,DDR 5,10,25482,3692,45.0,FCBGA1744,512,16,Acer,4800
B0B42QJMJP,26990.0,Windows 11 Home,AMD Ryzen 3 3250U,,,,,,,,14.0,36.0,1.5,DDR4 SDRAM,2,3845,1786,15.0,FP5,256,8,Acer,2400
B0CHRNQBCR,19990.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,11.6,42.0,1.1,DDR4 SDRAM,2,1976,1376,6.0,FCBGA1338,256,8,Acer,2400
B0D4ZB6GH2,45998.0,Windows 11 Home,AMD Ryzen 7 5700U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,8,15852,2592,15.0,FP6,1024,16,Acer,2400
B0B6F5W7WL,32955.0,Windows 11 Home,Intel Core i3-1215U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,6,10981,3328,15.0,FCBGA1744,512,8,Acer,2400
B0CKTLKGKN,42890.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0D4VQP8M8,51990.0,Windows 11 Home,Intel Core i7-1255U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13738,3291,15.0,FCBGA1744,1024,16,Acer,2400
B0CYHB7P1W,74990.0,Windows 11 Home,Intel Core Ultra 5 125H,,,,,,,,14.0,65.0,1.32,LPDDR5X,14,22417,3571,28.0,FCBGA2049,512,16,Acer,6400
B0C77J952V,37990.0,Windows 11 Home,Intel Core i5-1155G7,,,,,,,,14.0,45.5,1.49,DDR4 SDRAM,4,10170,2916,28.0,FCBGA1449,512,8,Acer,2400
B0D32T8YVX,55999.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,54.0,1.99,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B09X79JDC5,66104.0,Windows 11 Home,Intel Core i5-12450H,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,57.5,2.6,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B0D4Z8WJY4,44999.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,16,Acer,2400
B0CJJW635W,16990.0,Chrome OS,Intel Celeron N4500,,,,,,,,11.6,48.0,1.3,LPDDR4X,2,1976,1376,6.0,FCBGA1338,64,4,Acer,4266
B0C3HTXBWP,110590.0,Windows 11 Home,Intel Core i7-13700HX,RTX 4050,6 GB,GeForce RTX 4050 Laptop GPU,14471.0,627.0,115.0,Mobile,16.0,90.0,2.6,DDR 5,16,33968,3879,55.0,FCBGA1964,1024,16,Acer,4800
B0D45THCGJ,54990.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B0CSK7VYT4,33699.0,Windows 11 Home,Intel Core i3-N305,,,,,,,,14.0,40.0,1.54,LPDDR5,8,10095,2227,15.0,FCBGA1264,512,8,Acer,5500
B0C3CKFMK8,64990.0,Windows 11 Home,Intel Core i5-13500H,,,,,,,,14.0,65.0,1.25,LPDDR5,12,22923,3569,45.0,Unknown,512,16,Acer,5500
B0CJJVT8M5,20790.0,Chrome OS,Intel Celeron N4500,,,,,,,,11.6,50.0,1.45,DDR4 SDRAM,2,1976,1376,6.0,FCBGA1338,128,8,Acer,2400
B0CXPXT4XD,196990.0,Windows 11 Home,Intel Core i9-14900HX,RTX 4070,8 GB,GeForce RTX 4070 Laptop GPU,19651.0,780.0,115.0,Mobile,16.0,90.0,2.65,DDR 5,24,46698,4333,55.0,FCBGA1964,1024,16,Acer,4800
B0B42RSQWR,43990.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0BWNJS81C,66104.0,Windows 11 Home,AMD Ryzen 5 7535HS,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,57.0,2.1,DDR 5,6,18387,3178,35.0,FP7,512,8,Acer,4800
B0CQP1R949,61530.0,Windows 11 Home,Intel Core i5-13420H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,57.0,2.1,DDR 5,8,18809,3470,45.0,FCBGA1744,512,16,Acer,4800
B0D45T32HD,53990.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,8,Acer,2400
B0D4Z8WF34,36999.0,Windows 11 Home,AMD Ryzen 5 5500U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,13047,2442,15.0,FP6,512,16,Acer,2400
B0D4Z5Z8B5,41999.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0B3X2CPXD,45990.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,16,Acer,2400
B0D9C2PVN4,82500.0,Windows 11 Home,Intel Core Ultra 5 125H,,,,,,,,14.0,65.0,1.32,LPDDR5X,14,22417,3571,28.0,FCBGA2049,512,16,Acer,6400
B0D4Z93QBW,43990.0,Windows 11 Home,AMD Ryzen 7 5700U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,8,15852,2592,15.0,FP6,512,16,Acer,2400
B0CH9VN5KB,55990.0,Windows 11 Home,Intel Core i5-13420H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,1.78,DDR4 SDRAM,8,18809,3470,45.0,FCBGA1744,512,8,Acer,2400
B0B3XSR6RH,48307.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,48.0,1.6,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0CCRV54Y7,154990.0,Windows 11 Home,Intel Core i7-13700HX,RTX 4060,8 GB,GeForce RTX 4060 Laptop GPU,17703.0,735.0,115.0,Mobile,16.0,90.0,2.7,DDR 5,16,33968,3879,55.0,FCBGA1964,512,16,Acer,4800
B0D45TZ39G,59980.0,Windows 11 Home,Intel Core i5-12450H,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
