a,b,Audio,Battery,Battery_Value,Built-in Apps,Camera,Color,Dimensions (W x D x H),Disclaimer,Display,Ecolabels & Compliances,Expansion Slots (includes used),I/O Ports,Included in the Box,Keyboard & Touchpad,Memory,Microsoft Office,Military Grade,MyASUS Features,Network and Communication,OLED,Operating System,Power Supply,Security,Storage,Weight,Neural Processor,ASUS Exclusive technology,Additional Display,AURA SYNC,Keyboard and Touchpad,Note,Xbox Game Pass,Graphics,Model,G3d_mark,G2d_mark,Tdp,Category,Processor,Model.1,Cores,Cpu_mark,Thread_mark,Tdp_1,Socket,Price,Weight_value,RefreshRate,Unnamed: 52,position.page,position.position,position.global_position,asin,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews_total_reviews,reviews_rating,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,ASIN,Title,URL,Item Available,Price.1,Main Image,Total Images,Images,Delivery Message,Product Information,Badges
"Zenbook 14 Flip OLED (UP5401, 12th Gen Intel)",UP5401ZA,"Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","63WHrs, 3S1P, 3-cell Li-ion",63,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Pine Grey,"31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 550nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, Anti-glare display, SGS Eye Care Display, Touch screen, - (Screen-to-body ratio)88%, With stylus support","Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
Stylus (ASUS Pen SA203H-MPP2.0 support)
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad",16GB LPDDR5 on board,Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS Intelligent Performance Technology
ASUS OLED Care
AI Noise Canceling
Wi-Fi Rangeboost",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 100W AC Adapter, Output 20V DC, 5A, 100W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 4.0 Performance SSD
1TB M.2 NVMe™ PCIe® 4.0 Performance SSD",1.40 kg (3.09 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E cores)",Intel Core i5-12500H,12,21252.0,3480.0,45,FCBGA1744,74990.0,1.4,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
"Zenbook 14 Flip OLED (UP5401, 12th Gen Intel)",UP5401ZA,"Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","63WHrs, 3S1P, 3-cell Li-ion",63,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Pine Grey,"31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 550nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, Anti-glare display, SGS Eye Care Display, Touch screen, - (Screen-to-body ratio)88%, With stylus support","Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
Stylus (ASUS Pen SA203H-MPP2.0 support)
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad",16GB LPDDR5 on board,Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS Intelligent Performance Technology
ASUS OLED Care
AI Noise Canceling
Wi-Fi Rangeboost",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 100W AC Adapter, Output 20V DC, 5A, 100W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 4.0 Performance SSD
1TB M.2 NVMe™ PCIe® 4.0 Performance SSD",1.40 kg (3.09 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i7-12700H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 6P+8E cores)",Intel Core i7-12700H,14,26231.0,3591.0,45,FCBGA1744,74990.0,1.4,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Zenbook 14 OLED (UX3405),UX3405MA,"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX","FHD camera with IR function to support Windows Hello
With privacy shutter","Ponder Blue
Foggy Silver","31.24 x 22.01 x 1.49 ~ 1.49 cm (12.30"" x 8.67"" x 0.59"" ~ 0.59"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), FHD (1920 x 1200) OLED 16:10 aspect ratio, 0.2ms response time, 60Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display, - (Screen-to-body ratio)87%
35.56cm (14), 3K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 120Hz refresh rate, 500nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, SGS Eye Care Display, Touch screen, - (Screen-to-body ratio)87%, With stylus support","EPEAT Gold
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5X on board
*Supports dual-channel memory.
32GB LPDDR5X on board
*Supports dual-channel memory.",Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM) 2.0
IR webcam with Windows Hello support",1TB M.2 NVMe™ PCIe® 4.0 SSD,"1.22 kg (2.69 lbs)
1.28 kg (2.82 lbs)",Intel® AI Boost NPU,No information,No information,No information,No information,No information,No information,"Intel® Arc™ Graphics
*Intel® Arc™ Graphics is only available in models with Intel® Core™ Ultra 9-185H/ Ultra 7-155H/ Ultra 5-125H processors and at least 16 GB of dual-channel memory.",Intel Arc,5082.0,663,No information,Unknown,"Intel Core Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads); Intel AI Boost NPU",Intel Core Ultra 5 125H,14,22417.0,3571.0,28,FCBGA2049,99990.0,1.22,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Zenbook 14 OLED (UX3405),UX3405MA,"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX","FHD camera with IR function to support Windows Hello
With privacy shutter","Ponder Blue
Foggy Silver","31.24 x 22.01 x 1.49 ~ 1.49 cm (12.30"" x 8.67"" x 0.59"" ~ 0.59"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), FHD (1920 x 1200) OLED 16:10 aspect ratio, 0.2ms response time, 60Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display, - (Screen-to-body ratio)87%
35.56cm (14), 3K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 120Hz refresh rate, 500nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, SGS Eye Care Display, Touch screen, - (Screen-to-body ratio)87%, With stylus support","EPEAT Gold
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 1 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5X on board
*Supports dual-channel memory.
32GB LPDDR5X on board
*Supports dual-channel memory.",Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM) 2.0
IR webcam with Windows Hello support",1TB M.2 NVMe™ PCIe® 4.0 SSD,"1.22 kg (2.69 lbs)
1.28 kg (2.82 lbs)",Intel® AI Boost NPU,No information,No information,No information,No information,No information,No information,"Intel® Arc™ Graphics
*Intel® Arc™ Graphics is only available in models with Intel® Core™ Ultra 9-185H/ Ultra 7-155H/ Ultra 5-125H processors and at least 16 GB of dual-channel memory.",Intel Arc,5082.0,663,No information,Unknown,"Intel Core Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel AI Boost NPU",Intel Core Ultra 7 155H,16,24956.0,3548.0,28,Unknown,99990.0,1.22,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
Zenbook 14 OLED (UX3402),Zenbook 14 OLED (UX3402),"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",720p HD camera,"Ponder Blue
Aqua Celadon","31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display","Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5 on board
*Supports dual-channel memory.",Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key",512GB M.2 NVMe™ PCIe® 4.0 Performance SSD,1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel® Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i5-1240P Processor 1.7 GHz (12M Cache, up to 4.4 GHz, 4P+8E cores)",Intel Core i5-1240P,12,17239.0,3286.0,28,FCBGA1744,70990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
Zenbook 14 OLED (UX3402),Zenbook 14 OLED (UX3402),"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",720p HD camera,"Ponder Blue
Aqua Celadon","31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display","Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5 on board
*Supports dual-channel memory.",Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key",512GB M.2 NVMe™ PCIe® 4.0 Performance SSD,1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel® Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i7-1260P Processor 2.1 GHz (18M Cache, up to 4.7 GHz, 4P+8E cores)",Intel Core i7-1260P,12,17142.0,3310.0,28,FCBGA1744,70990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
Zenbook 14 OLED (UX3402),UX3402VA,"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",1080p FHD camera,"Ponder Blue
Foggy Silver","31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display
35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 550nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, SGS Eye Care Display, Touch screen, With stylus support","EPEAT Silver
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5 on board
*Supports dual-channel memory.",Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 4.0 SSD
512GB M.2 NVMe™ PCIe® 4.0 Performance SSD",1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel® Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i7-1360P Processor 2.2 GHz (18MB Cache, up to 5.0 GHz, 12 cores, 16 Threads)",Intel Core i7-1360P,12,19379.0,3583.0,28,FCBGA1744,70990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
Zenbook 14 OLED (UX3402),UX3402VA,"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",1080p FHD camera,"Ponder Blue
Foggy Silver","31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display
35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, 550nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 500, SGS Eye Care Display, Touch screen, With stylus support","EPEAT Silver
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","16GB LPDDR5 on board
*Supports dual-channel memory.",Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 4.0 SSD
512GB M.2 NVMe™ PCIe® 4.0 Performance SSD",1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,"Intel® Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i5-1340P Processor 1.9 GHz (12MB Cache, up to 4.6 GHz, 12 cores, 16 Threads)",Intel Core i5-1340P,12,18868.0,3543.0,28,FCBGA1744,70990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Zenbook 14 OLED (UM3402),ASUS Zenbook 14 OLED (UM3402),"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",1080p FHD camera,Jade Black,"31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display","EPEAT Silver (AMD Ryzen 7000 Series model)
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","Up to 16GB LPDDR4X on board
*Supports dual-channel memory.",Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 3.0 SSD
1TB M.2 NVMe™ PCIe® 3.0 SSD",1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,Integrated AMD Radeon™ Graphics,AMD Ryzen Z1 Extreme,7195.0,780,No information,Unknown,"AMD Ryzen 5 7530U Processor 2.0GHz (19MB Cache, up to 4.5 GHz, 6 cores, 12 Threads)",AMD Ryzen 5 7530U,6,16165.0,3122.0,15,FP6,74990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Zenbook 14 OLED (UM3402),ASUS Zenbook 14 OLED (UM3402),"Smart Amp Technology
Built-in speaker
Built-in array microphone
harman/kardon (Premium)
with Cortana voice-recognition support","75WHrs, 2S2P, 4-cell Li-ion",75,"MyASUS
ScreenXpert
GlideX",1080p FHD camera,Jade Black,"31.36 x 22.06 x 1.69 ~ 1.69 cm (12.35"" x 8.69"" x 0.67"" ~ 0.67"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","35.56cm (14), 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 0.2ms response time, 90Hz refresh rate, peak brightness 600nits, VESA CERTIFIED Display HDR True Black 600, SGS Eye Care Display","EPEAT Silver (AMD Ryzen 7000 Series model)
Energy star 8.0
RoHS
REACH",No information,"1x USB 3.2 Gen 2 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Sleeve
* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.","1.4mm Key-travel, Touchpad, support NumberPad","Up to 16GB LPDDR4X on board
*Supports dual-channel memory.",Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),OLED,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100-240V AC 50/60GHz universal","Trusted Platform Module (TPM)
Fingerprint sensor integrated with Power Key","512GB M.2 NVMe™ PCIe® 3.0 SSD
1TB M.2 NVMe™ PCIe® 3.0 SSD",1.39 kg (3.06 lbs),No information,No information,No information,No information,No information,No information,No information,Integrated AMD Radeon™ Graphics,AMD Ryzen Z1 Extreme,7195.0,780,No information,Unknown,"AMD Ryzen 7 7730U Processor 2.0GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads)",AMD Ryzen 7 7730U,8,18650.0,3064.0,15,FP6,74990.0,1.39,90Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
